startphrase,ending0,ending1,ending2,ending3,label
"With a wounded glare, the rock star steps away in his burgundy briefs. Later, someone and someone",make sparkles at each other's tables.,dance side - by - side.,sit eating breakfast between two kids.,make a exit in another attic.,1
"The girl get out and stand on the border of the structure, then while the man puts a rope behind the girl. After, the girl jumps from the structure for a moment and then she",gets to the sand pit.,stands outside the sand castle.,gets up on the structure.,continues riding the bikes again.,2
"Wearing a floppy cap, someone warms his hands over one fire then stuffs them in his pockets and walks off. Later, he",heads down a sidewalk of darkness.,swerves frisbees in the witches lair.,sits at the desk behind someone.,tosses the script at his desk.,0
"With an almost pained expression, someone wraps an arm around someone's head. Ending their kiss, people",share a tender gaze.,resume their racquetball perfunctorily.,let off smiling relief.,head into the kitchen.,0
"Someone crosses to his lifelong friend and drapes his jacket around his shoulders. Stepping in front of someone, he",passes a gun to someone.,puts his arms behind him.,crouches and touches his arm.,gestures at his blonde mother.,2
"People are now very close. During the ensuing low - spoken dialogue, they",put their hands all along the floor.,"are both wearing earphones, forming a room.",'re engaged in dance performing similar activities.,"begin to move, dancing as they talk.",3
The man lifts the weight over his head. The man,lifts the shirt off the ground.,scans shaving cream on his leg.,drops the weight to the ground.,finishes jumps and drops the weight.,2
A logo for School of Psychology appears on screen. A photo of a bearded man,is shown holding a pole.,is on a cutting board.,begins company into a laptop.,appears reading by describing instructor.,3
"Elsewhere, in a home, a young, long - haired woman walks past a small dog. In an adjoining sunroom, a white - haired woman",wears a surgical mask.,addresses a makeshift stage.,uses a pottery wheel.,unwraps a blonde parcel.,2
He dives for cover as the coach flies low over his head. A tall mast flying a slender pennant,looms high with a red dragon's nest.,swims toward the front of the building.,looms before him by a large ledge.,of knocked clouds come to the beach.,2
He puts the weights down and looks at his reflection in the window: His arms are pumped. He,"leans against the door, angry.",lies down on his knees.,"races wildly, releasing his hand.",crouches down and continues talking.,3
"The tall prisoner, who has a beard, closely - cropped hair and a stoop, turns back from the broken flagpole on the ground. A second prisoner",steps into the file tray.,is in a quiet bay.,rushes back into the hall.,is stopped from following him.,3
She takes a break from the bike and does tome abdominal exercises on the floor. The video,ends with the closing captions shown on the screen.,ends with the closing captions shown across the screen.,begins with the series of people on the elliptical.,ends with the opening credits shown on the screen.,2
"Now the bean shaped cloud gate in Millennium Park reflects an overcast day. Inside a high - rise building, a woman at a conference table",sits wearing an airplane seat.,sits up with his hair.,watches someone by a window.,audience hugs the other men.,2
"Now the bean shaped cloud gate in Millennium Park reflects an overcast day. Inside a high - rise building, a woman at a conference table",audience hugs the other men.,sits wearing an airplane seat.,sits up with his hair.,slides legal documents to someone.,3
Bringing up an email account he finds several messages from cooldeets88. Someone and the nerds,listen in on someone and someone.,tip the barrel into his cheek.,spot him to change his seat.,are in line detailing the wheel.,0
A cup full of ice is shown and a person pour drinks on the cup and make a cocktail. a cranberry cocktail,is placed in the jar.,is with a steel ball.,is poured in the bowl.,is serve in a cup.,3
He takes two bags from his father. The young man,boards a waiting bus.,tosses someone a suitcase.,stares at the roof.,hangs a life jacket.,0
"Toting his gun, someone climbs out of the cruiser. He",ducks into a parked car.,"exits the records room, horrified.",takes it away from someone.,catches someone in a web.,0
Someone heads to the passenger side of someone's cruiser. They get in and someone,gets back in his truck.,leads someone to the door.,backs away from the crowd.,shoots at the stop outside.,2
"Meanwhile, someone answers his phone. Someone",stands at the datebook.,sneaks across the house.,dials a phone number.,opens other ear buds.,2
"As she passes ground zero, she glances at people gathered by a fence adorned with flowers and flags. Now, she",turns around and spots a candy.,finds a portrait of someone's colleague.,performs a diagram of her lawn.,finds someone at a store entrance.,1
"She picks up a phone and dials. In the garden, someone",works at her computer.,sits in the lobby.,steps into the driveway.,takes his phone out.,3
Someone gets in the car. Someone's briefcase suddenly springs open and his papers,fly in mid - air.,fly out of his eyes.,spill all over the driveway.,fall on top of someone.,2
Someone gets in the car. Someone's briefcase suddenly springs open and his papers,fall on top of someone.,fly out of his eyes.,fly in mid - air.,fly out of the window.,3
A cameraman rises up on the riverbank. Two new individuals,paddle down the river.,continue on the bikes.,fall from the flies.,enter a motel room.,0
A group of men and women are doing jump rope for aerobic exercise. They,are each doing various things in a gymnasium.,"are shown on the court, dancing and spinning.",are participating in the water as a race.,"run in a circle, jumping as they run.",3
"A man, wearing snow goggles, a winter hat and jacket, talks to the camera while filming himself snow boarding down a snow covered ski slope. The man snowboards down a slope using one of his free hands to film himself as he passes other skiers using ski poles to ski, snow",is up the hill.,swiftly down the mountain.,is on the planks.,covered foliage and landscape.,3
Someone moves on then pauses warily. She,jogs out of view.,takes off his reading.,nears a blurry gap.,tilts her head angrily.,0
People are among the spattering of passengers. They,get to the lift.,rise from their seats.,go into the cabin.,move to the bar.,1
We see the title for Kyla Ross on the parallel bars. The girls,"lifts, then lowers her arms.",swings utterly in the field.,hands over a large machine.,toast and cheer while continuously.,0
"She has a rich body. Someone comes to her and she picks up someone and the doll; someone, laden with his oath,",tinkering with a large nostril.,urges her in the mirror.,has his rear on him.,walks quickly into the house.,3
"He leans his head against the back of the settee, acutely uncomfortable. Someone",appears on the stairs.,shifts his thoughtful gaze.,hands someone a locket.,is fuming a little.,3
Someone puts her hand on someone's hand. Someone,floating through her clothes.,leans closer to someone.,nods as he remembers.,starts for the door.,2
Now in the guesthouse someone and someone share a tender passionate kiss. He,gazes into her eyes.,giggles to the beat.,gently kisses her cheek.,meets his earnest gaze.,0
"The little boy is at the sink brushing the pot. The boy lift the brush from the pot and brush the sink instead, then he",sprays it on his face.,brushes it with a toothbrush.,put it in the pot.,continues to dry his foot.,2
Several spectators are watching them and cheering them as they continue to play. The players,are applauding and enjoying team player step.,finish tossing the ball in the air.,continue to pull the rope with concentration.,are playing basketball while watching the game.,2
The white - haired businessman gives a confused look. The lights on the lounge's archway,shine in a hallway.,washes through the ceiling.,reveal a cigarette lighter.,glow onto the sidewalk.,3
"Someone trudges out after the officials, leaving someone sitting alone, brooding. Someone",nods as someone reads the letter.,leans forward and checks his watch.,smiles and shifts his weight forward.,puts his face on his shoulder.,3
"They look around fearfully, as armed figures march out of the jungle through the smoke. As the boys run pell - mell into the water, the Japanese soldiers",advance past the mission buildings.,flips in the street outside.,get over to help someone.,are ready for the match.,0
"With his eyes closed, someone's head hangs to the side. Medical workers",tend to the medic.,tend to their patients.,surround someone's unconscious zookeeper.,appear on the dock.,1
"People are in the car, parked across the street. They",are on their knees.,fight over the phone.,are staring at someone.,don't see the man.,2
2 a guy talks about playing the saxophone. 3 The guy,throws off the clip.,plays the saxophone again.,starts to play guitar.,leaves off the paper.,1
"The reverse shows someone approaching from her own squad car. The first car's driver door opens and a figure in a parka emerges,",pulls on the trail.,shakes down his hand.,glaring at the wig.,holding two styrofoam cups.,3
Someone slumps back into his seat. Someone,straightens his chin and lets someone a gentle kiss.,"approaches someone, who's shielding his face with his fist.",carries him to the table where someone lies awake.,walks into his room and looks at the sofa.,1
"Someone obeys in a trance. Someone, gun at ready,",returns to the bedroom.,looks up at someone.,begins to record them.,looks into the darkness.,3
Man applies an alcohol - based stain. The man in a white shirt,is holding the drink.,is standing his stilts.,walks past the fbi.,holds up the wood.,3
The camera zooms in on cookies on the dashboard of the car being baked inside. A digital thermometer,of reception is shown.,is in the farmhouse.,spills down the screen.,shows the heat temperature.,3
Someone follows her to the elevator. They,clasp on the cigar.,step onto the door.,lifting her from bed.,exit into the lobby.,3
"The man is using two ropes, he's maneuvering the kite with both hands. The kite is flying round and round, then it",flew high then low.,falls off the ground.,bursts from the sky.,falls into the air.,0
"It spreads to the wall, then surges around the room. Standing at the atrium's center, someone",does a guard raise handed a came.,directs the roiling flames with his gaze.,puts one finger removed and walks out.,poses with the string in bungee arm.,1
He hands someone the thin envelope. Someone,quickly goes back to the present.,catches it with a shotgun attached.,takes the ring from his pocket.,thoughtfully runs his thumb over it.,3
A teenage girl brushes her hair. The girl,starts to blow dry her hair.,stretches the leash on her face.,cuts the ladies's hair with brush.,brushes them off the eiffel head.,0
Someone gazes across the field. People,arrive at someone's mansion.,pull at a pedestrian.,sit in the kitchen.,walk into the school.,3
"Behind him, a dim light glows inside the tent. Clutching someone's wand, someone",plants his hands on his knees.,gets back in the meeting room.,separates the top from the canvas.,rests his rifle on the tree.,2
A group of children are gathered at an outdoor event. They,are engaged in a game of cricket.,are engaged in a game of kickball.,are engaged in a game of curling.,are engaged in a game of kickboxing.,1
An old man with beard is giving interview. The man is arranging the ball on the table and then hit them and they all,continue to read it.,want to fix it.,went into the holes.,begin to stir it.,2
Someone pulls out the other chair. Someone,looks up at him.,sits at a table.,climbs off the bed.,holds out her wand.,1
Someone reaches into the front seat of the van and pulls out his twelve gauge. He,points it at the tow truck driver.,rips the whip off his second belt.,looks up from the bug eyed bottle.,closes the bar and steps down together.,0
A man does a news report about running through Paris. He is in a Naruto costume and others,tobacco and gives an interview.,are in costumes as well.,taking people off with him.,'jump is high as well.,1
"He reaches his truck, then looks around. Someone",tilts his head stubbornly.,tries on his radio.,bursts into a corridor.,materializes behind the hatchback.,0
"While they are talking, a game is being played and the two watches them. After, the man begins teaching her various techniques used in the game and they",are about the mechanics of the game.,continue doing gymnastic moves across the field.,begin playing the game during the game.,engage in a game of bowling games.,2
"As he enters, a staff of employees halt and face him. He",leaps into someone's arms.,shrugs his brow grimly.,runs into the office.,turns to the lieutenant.,1
A child opens a bedroom door. The child,holds the lid open.,stops and turns around.,runs down the passageway.,slides down the slide.,1
"Someone flinches as the German rounds shatter the windows. Manning the searchlight, Pleasant",chase someone towards the roof.,"explode the flamethrower, celery sprawling,.",turn uncertainly in a corner.,catches a bullet and collapses.,3
"Barefoot, someone is manhandled into one of the vehicles. The four suvs",throw themselves in the air.,begin to leave the store.,arrive at the possessed truck.,drive off in different directions.,3
He opens the door and sees her in her nightgown. He,watches and licks her lips.,is reading the paperwork's shelf.,stands and presses a button.,has been watching the page.,0
"After, the female throws water with the hose to the woman. A woman wearing white clothes",makes a long shot.,walks in to see.,opens a new room.,laughs in a bathroom.,3
We see meat and cheese on a counter. A man,holds a sandwich in a coffee dish.,talks to the camera in a kitchen.,uses an electric knife to cut teeth.,sets the pasta in a flat saucepan.,1
He heads into the warehouse and the thugs follow. Someone,walks to the side of the lift.,"leans forward, his mouth dragging behind him.",tosses back and punches the thug's door.,"watches him by, then releases a neighbor.",0
Someone guides someone's glass to his lips. Someone,and someone clink his vodka.,approaches and shuts the armoire.,is sitting down watching them.,cocks an eyebrow at someone.,3
We see a fountain spraying water. A mariachi band,is dancing in a park on a solo highway.,is standing around the studio to show a garden.,stands in a cars by some marching band plays.,sits on the sidewalk playing music followed by drummers.,3
A series of masks are shown on a table. A yorkie dog,prepares to strike a strike.,is shown from several angles.,is showing their each act.,looks paying for the camera.,1
Someone wipes it away with a gloved finger. The bank official,gives a wounded nod.,puts down its map.,sends a text message.,shows her the calculator.,3
Someone unlocks the door and opens it. Someone enters and she,walks into the hall.,closes the door again.,notices him watching o..,peeks through the window.,1
Then he finds a tin - opener. The Germans,sneaks up behind him.,throws it into position.,go in a chokehold.,are evacuating the villa.,3
Someone holds up an old playbill. Someone,lifts him in his arms.,takes a seat far back.,touches a large movie camera.,seizes it by its neck.,2
The other climbs a ladder. The girl,flips the lady off to the right.,falls to the start with her feet.,chases an ax above the other tree.,jumps to leave the dog to it.,0
"Someone goes to a door with a window in it and knocks on the glass. On the other side, a man lowers a flap and someone",steps off the roof.,walks into the cabin.,looks into the room.,lies on the train.,2
He takes a piece of paper from one of the cups. The young man,appears and sits down high above several leaves.,crosses the darkened studio with a face up.,peels the sandwich off and takes a break.,is outside putting money all over their heads.,1
Someone meets someone's concerned gaze. Someone,stares at someone thoughtfully.,looks at his son.,smiles at the tv.,"nods, then walks away.",0
Someone meets someone's concerned gaze. Someone,looks at his son.,stares up at someone.,"nods, then walks away.",smiles at the tv.,0
He looks into her eyes and shakes his head. She,looks at him evenly.,jogs back to him.,taps a foot ring.,yanks out a handful.,0
"The ship 'slows to a stop. Gawking at the towering vessel, someone",rises to her feet.,balances as he holds.,hides behind her trunk.,holds out his neuralyzer.,0
"The room transforms into its former state, as young someone and someone step inside. Someone",puts down his quill.,rushes toward a painting.,looks hard at people.,lies box in bed.,1
"She gets up, revealing a tiny T - shirt and boy - cut panties. Someone",connects it to someone.,lies on her couch.,follows reigns to someone.,watches the approaching car.,1
"Someone emerges from the bathroom, wrapped in a towel. Reclining on a sofa, someone",struggles to sit up.,stamps out the notes.,lies in the doorway.,watches someone brace himself.,0
The man and the horse ride out fast after the calf. The man,takes the lasso and starts trimming the cow.,ropes the calf and jumps off the horse.,fell then pulled the calf to the ground.,finishes washing his horse and chase the calf.,1
The trucks pull into an area surrounded by towering stacks of shipping containers. A bearded man exits an suv and his men,are standing at the policeman.,fall into a dirt vehicle.,carry out two military crates.,"pulls off, leaving behind stalls.",2
Someone gives someone an encouraging wave. People,run into the hall in triumph.,dance together in an intricate dance.,look at the naked rock dancer.,look on from a defeated boat.,0
The man makes a smoke ring and blow it to the girl and she inhalates. a man and a woman,are shown playing over a basket.,pull a rope off the pavement.,kiss the woman slamming each other.,are sharing smoke in a room.,3
Someone removes a school photo from an album. Someone,stares at the photo.,sets the flashlight aside.,puts on his helmet.,faces a sustained frown.,0
"Someone shoots at someone, and the car swerves. Someone knocks over his hand and the flare",hits the pavement and falls.,goes off in the car.,gun is aimed at him.,veers up in his head.,1
"People, who holds the baby, climb up a steep hill. As they progress up the hill and the gradient increases, they",climb into a sedan.,turn into someone's car.,reach the lower level.,struggle for hand holds.,3
People are standing on the backs of horses. Three girls,stand on their hind legs.,are interviewed after the girl.,are talking to a camera.,run to the ground member.,2
A woman is standing inside her kitchen. She,applies soap and shaving cream to her face.,is talking to the camera in the kitchen.,shows how to wrap a gift around present.,starts talking to the camera in the bathroom.,1
An arrow goes through the hole of a donut. An arrow,pulls a hole on the ground.,is pulled out with a knife.,cuts the string holding an apple.,is attached to a released point.,2
Another child moves around behind her. More children are seen working and the girl,moves around and fourth.,hops to the side.,laying down looking down.,proceeds to smile slightly.,3
"The woman exercise on front the ocean spinning the stick on her neck. Then, the woman",finish watching the other woman perform.,spins the hoop with her hand.,lifts the weight and spins around.,"begins riding a heavy, elliptical bike.",1
"The cat looked up while the woman is clipping the right back paw of the cat. While the woman is clipping the left back paw, the cat",was blinking to the camera.,is overlaid on the nail.,appears on the left youth.,zooms out holding her toothbrush.,0
